,label,prediction
97,umarım,umarim
98,barış,baris
99,olçay,olcay
100,ise,işe
101,malı,mali
102,suresi,süresi
103,kutlu,kütlü
104,çınladı,çinladı
105,kıl,kil
106,kıpırdatmıyor,kıpirdatmıyor
107,kürtçü,kurtçu
108,örgütlerin,orgutlerin
109,orkestrasyonlarıyla,orkestrasyonlariyla
110,yapılan,yapilan
111,dışında,disinda
112,ncı,nci
113,çerden,cerden
114,döküyorsunuz,dokuyorsunuz
115,yı,yi
116,çimleri,cimleri
117,nun,nün
118,üs,us
119,şevden,sevden
120,kışı,kişi
121,bekenşir,bekensir
122,sınırlı,sinirli
123,nun,nün
124,sakla,şakla
125,vakum,vaküm
126,duştan,düştan
127,şu,su
128,dış,diş
129,küsür,kusur
130,küs,kuş
131,gürültüsünü,gurultusunu
132,başım,basım
133,nun,nün
134,maşası,masası
135,geçe,gece
136,şer,ser
137,şahıs,şahis
138,dürdüm,durdum
139,ölmüş,olmuş
140,ahı,ahi
141,şaşı,şasi
142,ılık,ilik
143,başın,basın
144,sobelemediğinde,söbelemediğinde
145,Hurşit,Hürsit
146,nun,nün
147,mırın,mirin
148,taşa,tasa
149,sınır,sinir
150,çıt,çit
151,Dossios,Doşsios
152,nun,nün
153,eğen,egen
154,aissati,aişsatı
155,nin,nın
156,Delight,Deliğht
157,lokumu,lokümu
158,tınısını,tinisını
159,Borusan,Boruşan
160,Şecket,Secket
161,hür,hur
162,Şam,Sam
163,Şam,Sam
164,öldü,oldu
165,buldozer,buldözer
166,ise,işe
167,paradigmanız,paradığmanız
168,başından,basından
169,Hırvat,Hirvat
170,saldırı,saldirı
171,Iğdır,İğdir
172,Oğhan,Oghan
173,nun,nün
174,hashtagı,hashtağı
175,çamlık,camlık
176,yeğenağa,yegenağa
177,bakır,bakir
178,halı,hali
179,yasını,yaşını
180,şeri,seri
181,konuyu,könuyu
182,lu,lü
183,kurdeleleriyle,kürdeleleriyle
184,ekşisine,eksisine
185,Rüstem,Rüştem
186,donuk,dönük
187,işi,ısı
188,provakatörlerden,provakatorlerden
189,aynı,ayni
190,kahırlı,kahirli
191,akşamında,aksamında
192,şıklık,sıklık
193,on,ön
194,ünvanların,unvanların
195,ılgasına,ilgasına
196,varış,varis
197,karşı,karsı
198,tıp,tip
199,çişim,cisim
200,oduncu,ödüncü
201,şalcı,salcı
202,obur,öbür
203,sair,şair
204,cin,çin
205,cümbüşü,cümbusu
206,göknarı,göknari
207,sarıçam,sarıcam
208,anıt,anit
209,porsuk,pörsük
210,yaşıyorlar,yasıyorlar
211,mevlüt,mevlut
212,ölümlü,olumlu
213,yün,yun
214,çitin,citin
215,şu,su
216,tın,tin
217,şirk,sirk
218,hışmından,hismından
219,nin,nın
220,beşler,besler
221,aksama,akşama
222,aykilyu,aykılyu
223,ucun,uçun
224,eşkıya,eşkiya
225,şaki,saki
226,masturbasyon,mastürbasyon
227,kasıklarımdaki,kaşıklarımdaki
228,masturbasyon,mastürbasyon
229,Teziç,Tezic
230,Bakunin,Bakunın
231,hısımım,hisimim
232,şeş,ses
233,ucube,ücube
234,şaplı,saplı
235,ölüp,olup
236,karışıktır,karişiktir
237,püf,puf
238,Bogota,Boğota
239,çırçır,çircir
240,şaha,saha
241,çırçır,çircir
242,şaha,saha
243,IMC,İMC
244,nun,nün
245,Sakak,Şakak
246,Celal,Celâl
247,Övür,Ovur
248,ün,un
249,odun,ödün
250,sık,şık
251,idaaa,ıdaaa
252,kübünü,kubunu
253,şakısana,sakışana
254,öldür,oldur
255,tasması,taşması
256,donuk,dönük
257,Kuseyri,Kuşeyri
258,kılıç,kıliç
259,Ariza,Arıza
260,maçı,macı
261,Ekşioğlu,Eksioğlu
262,nun,nün
263,üçüz,ucuz
264,üçüz,ucuz
265,dogmalarının,doğmalarının
266,bıldırcın,bildircin
267,basıma,başıma
268,sticks,stıçks
269,kosa,koşa
270,vebalı,vebali
271,pişik,pisik
272,Süsen,Susen
273,aşım,asım
274,tığ,tig
275,ın,in
276,bıçkın,biçkin
277,büzülür,buzulur
278,haşa,hasa
279,islamda,ıslamda
280,hişini,hisini
281,sifonu,şifonu
282,lök,lok
283,kulluk,küllük
284,kıpık,kipık
285,şıra,sıra
286,mışıl,misil
287,musluk,müslük
288,mayışıklığını,mayısıklığını
289,tuzunu,tüzunu
290,kurşun,kursun
291,isli,işli
292,kapalı,kapali
293,atik,atık
294,hız,hiz
295,opus,öpüş
296,leş,les
297,lumpenler,lümpenler
298,aynı,ayni
299,yı,yi
300,otunu,ötunu
301,mazı,mazi
302,taş,tas
303,Kismet,Kısmet
304,kagir,kağır
305,parıl,paril
306,parlıyordu,parliyordu
307,aşılma,asılma
308,nun,nün
309,işi,isi
310,Niğdeli,Nigdeli
311,şifa,sıfa
312,manastıra,manastira
313,Gıyaseddin,Giyaseddin
314,lafın,lafin
315,kısası,kisası
316,isten,işten
317,isten,işten
318,şeni,seni
319,yaşananı,yaşanani
320,silişimi,silisimi
321,pöflüyor,poflüyor
322,açıl,acil
323,tayın,tayin
324,cer,çer
325,kumluk,kümlük
326,kumul,kumül
327,harım,harim
328,on,ön
329,kaldıran,kaldiran
330,salıverme,saliverme
331,konuşunda,konusunda
332,çip,cip
333,söküm,sokum
334,tanin,tanın
335,altmışlı,altmisli
336,yılların,yillarin
337,başında,başinda
338,vardı,vardi
339,muhbir,mühbir
340,afişler,afisler
341,getiremiyoruz,getıremıyoruz
342,verdiğimiz,verdığımız
343,açın,acın
344,içinde,ıcınde
345,hepsinin,hepsının
346,istersiniz,ıstersınız
347,cali,çali
348,taşlama,taslama
349,ısıl,ışıl
350,t4'ün,t4'un
351,yarışın,yarişın
352,Çır,Cir
353,bayati,bayatı
354,süluk,suluk
355,Hâzık,Hâzik
356,nakısa,nakisa
357,Şavşat,Savsat
358,nodül,nodul
359,hafizali,hafızalı
360,türüdür,turudur
361,tekrarı,tekrari
362,baş,bas
363,löpür,lopur
364,klorürden,klörürden
365,loça,loca
366,fışlama,fıslama
367,geçeli,geceli
368,ışıtım,işitim
369,bürgüsü,burgusu
370,aşiri,aşırı
371,küstürdü,küsturdu
372,söküye,soküye
373,pişt,pist
374,aşıver,asıver
375,asılabilmek,aşılabilmek
376,asılanma,aşılanma
377,asıntı,aşıntı
378,keşik,kesik
379,aşıverme,asıverme
380,akşama,aksama
381,biçkici,biçkıcı
382,aslık,aşlık
383,çoktu,çöktü
384,keşen,kesen
385,şaplama,saplama
386,kınlı,kinli
387,şıklaşmalı,sıklaşmalı
388,cehreyi,çehreyi
389,tırıl,tiril
390,tırıl,tiril
391,kulle,külle
392,bahşedebildiklerin,bahsedebildiklerin
393,bahşedemediklerinlede,bahsedemediklerinlede
394,sokuşundan,sokusundan
395,ölüş,oluş
396,ahımdan,ahimdan
397,şemi,semi
398,şinik,sinik
399,şıklaştırma,sıklaştırma
400,uzluk,üzlük
401,şaklatma,saklatma
402,tur,tür
403,meleş,meles
404,şata,sata
405,şıracıdır,sıracıdır
406,şıralıdır,sıralıdır
407,şatır,satır
408,nesren,neşren
409,haşıl,hasil
410,sakıttır,sakittir
411,naşir,nasır
412,açındırılsın,acındırılsın
413,köpüksüz,kopuksuz
414,pastişler,pastisler
415,küsursuz,kusursuz
416,şet,set
417,şaz,saz
418,ölgünlük,olgunluk
419,sif,şif
420,sıma,sima
421,sası,şaşı
422,tranş,trans
423,acılanmış,açılanmış
424,aşıt,asit
425,bürgüsüz,burgusuz
426,büründüğün,burunduğun
427,cımbar,çimbar
428,Bozöyük,Bözoyuk
429,çivi,civı
430,islenmesin,işlenmesin
431,çanlı,canlı
432,çansız,cansız
433,çımbar,çimbar
434,halı,hali
435,sakağı,şakağı
436,esik,eşik
437,çanına,canına
438,fısırtısı,fışırtısı
439,gezeğendi,gezegendi
440,şip,şıp
441,fışıldıyordu,fısıldıyordu
442,şırlama,sırlama
443,dondurdu,döndürdü
444,dondurulmuş,döndürülmüş
445,söbe,sobe
446,şaklama,saklama
447,carcur,çarçur
448,şaklatma,saklatma
449,şaplatma,saplatma
450,çiğliktir,çığlıktır
451,eşlemeye,eslemeye
452,öğrendim,ögrendim
453,bıçık,bicik
454,konuşunuz,konusunuz
455,hınzır,hınzir
456,fışıldayan,fısıldayan
457,fosurdama,foşurdama
458,fönlü,fonlu
459,şıklaşmaya,sıklaşmaya
460,sındırılmıştı,sindirilmişti
461,şeşi,sesi
462,haşiş,hasis
463,sislendi,şişlendi
464,sislenme,şişlenme
465,aştır,astır
466,koysun,köysün
467,eştir,estir
468,havalı,havali
469,cengellerin,çengellerin
470,göllük,gollük
471,işteş,istes
472,sökülüşünü,sokulusunu
473,isim,işim
474,islemek,işlemek
475,ışıtmasıyla,ısıtmasıyla
476,kasınmadan,kaşınmadan
477,pışt,pist
478,keşkilerimiz,keskilerimiz
479,sekellerine,şekellerine
480,ötür,otur
481,şarkı,şarki
482,ödyometre,odyometre
483,korun,körün
484,aşılanışları,asılanışları
485,köseliğin,köşeliğin
486,tapi,tapı
487,eşlek,eslek
488,böğü,boğu
489,kürt,kurt
490,küsurlu,kusurlu
491,kütlüler,kutluler
492,ıklımı,iklimi
493,ılımandır,ilimandır
494,nasıp,nasip
495,musluğun,müsluğun
496,su,şu
497,foşladı,fosladı
498,münakasa,münakaşa
499,düldüller,dulduller
500,Paldım,Paldim
501,sansız,şansız
502,şeci,seçi
503,olçum,ölçüm
504,mıskalı,miskali
505,söküşüyle,sokusuyle
506,bahşedebilme,bahsedebilme
507,şüyu,suyu
508,çırnık,çirnık
509,foşurdatmaydı,fosurdatmaydı
510,ölmüşlük,ölmuşluk
511,ölümlülük,olumluluk
512,likörü,likoru
513,fışıltısını,fısıltısını
514,menşurdur,mensurdur
515,salik,salık
516,hala,hâlâ
517,bahsedebiliyorsam,bahşedebiliyorsam
518,sındırdın,sindirdin
519,fosurdatmadan,foşurdatmadan
520,singin,sıngın
521,sinirsizlik,sınırsızlık
522,sokuluşuna,sokulusuna
523,düse,düşe
524,aştırmadık,astırmadık
525,su,şu
526,şıldır,sildir
527,şıldır,sildir
528,sumsuk,sümsük
529,foşurdamadan,fosurdamadan
530,yüregir,yüreğir
531,şapa,sapa
532,şavul,savul
533,şırasız,sırasız
534,şu,su
535,şıklaştır,sıklaştır
536,şu,su
537,ölüğü,oluğu
538,tösünde,tosunde
539,beşleme,besleme
540,tesbihatlarını,teşbihatlarını
541,mürt,murt
542,şalakları,salakları
543,bürgülüsü,burgulusu
544,isle,işle
545,suzeni,süzeni
546,bürük,buruk
547,tüttürdüler,tutturduler
548,şakladı,sakladı
549,sıngın,singin
550,yıprandırdı,yiprandırdı
551,tiğ,tig
552,kasıntılı,kaşıntılı
553,kumaşı,kuması
554,teşte,teste
555,tuz,tüz
556,sübye,subye
557,diş,dış
558,şirin,sirin
559,arız,ariz
